Date,Open,High,Low,Close,Adj Close
9/17/2014,465.8640137,468.1740112,452.4219971,457.3340149,457.3340149
9/18/2014,456.8599854,456.8599854,413.1040039,424.4400024,424.4400024
9/19/2014,424.1029968,427.8349915,384.5320129,394.79599,394.79599
9/20/2014,394.6730042,423.29599,389.8829956,408.9039917,408.9039917
9/21/2014,408.0849915,412.4259949,393.1809998,398.8210144,398.8210144
9/22/2014,399.1000061,406.9159851,397.1300049,402.1520081,402.1520081
9/23/2014,402.0920105,441.5570068,396.196991,435.7909851,435.7909851
9/24/2014,435.7510071,436.1119995,421.1319885,423.2049866,423.2049866
9/25/2014,423.1560059,423.519989,409.4679871,411.5740051,411.5740051
9/26/2014,411.4289856,414.9379883,400.0090027,404.4249878,404.4249878
9/27/2014,403.5559998,406.6229858,397.3720093,399.519989,399.519989
9/28/2014,399.4710083,401.0169983,374.3320007,377.1809998,377.1809998
9/29/2014,376.928009,385.2109985,372.2399902,375.4670105,375.4670105
9/30/2014,376.0880127,390.9769897,373.4429932,386.9440002,386.9440002
10/1/2014,387.427002,391.3789978,380.7799988,383.6149902,383.6149902
10/2/2014,383.9880066,385.4970093,372.9460144,375.071991,375.071991
10/3/2014,375.1809998,377.6950073,357.8590088,359.5119934,359.5119934
10/4/2014,359.8919983,364.4869995,325.8859863,328.8659973,328.8659973
10/5/2014,328.9159851,341.8009949,289.29599,320.5100098,320.5100098
10/6/2014,320.3890076,345.1340027,302.5599976,330.07901,330.07901
10/7/2014,330.5840149,339.2470093,320.4819946,336.1870117,336.1870117
10/8/2014,336.1159973,354.3640137,327.1879883,352.9400024,352.9400024
10/9/2014,352.7479858,382.7260132,347.6870117,365.026001,365.026001
10/10/2014,364.6870117,375.0669861,352.9630127,361.5620117,361.5620117
10/11/2014,361.3619995,367.1910095,355.9509888,362.2990112,362.2990112
10/12/2014,362.6059875,379.4330139,356.1440125,378.5490112,378.5490112
10/13/2014,377.92099,397.2260132,368.8970032,390.4140015,390.4140015
10/14/2014,391.6919861,411.697998,391.3240051,400.8699951,400.8699951
10/15/2014,400.9549866,402.2269897,388.7659912,394.7730103,394.7730103
10/16/2014,394.5180054,398.8070068,373.0700073,382.5559998,382.5559998
10/17/2014,382.756012,385.4779968,375.3890076,383.7579956,383.7579956
10/18/2014,383.9760132,395.1579895,378.9710083,391.4419861,391.4419861
10/19/2014,391.2539978,393.9389954,386.4570007,389.54599,389.54599
10/20/2014,389.2309875,390.0840149,378.2520142,382.8450012,382.8450012
10/21/2014,382.42099,392.6459961,380.8340149,386.4750061,386.4750061
10/22/2014,386.1180115,388.5759888,382.2489929,383.1579895,383.1579895
10/23/2014,382.9620056,385.0480042,356.446991,358.4169922,358.4169922
10/24/2014,358.5910034,364.3450012,353.3049927,358.3450012,358.3450012
10/25/2014,358.6109924,359.8609924,342.8770142,347.2709961,347.2709961
10/26/2014,347.4869995,359.2210083,343.9309998,354.70401,354.70401
10/27/2014,354.7770081,358.6319885,349.8089905,352.9890137,352.9890137
10/28/2014,353.2149963,359.9840088,352.6789856,357.6180115,357.6180115
10/29/2014,357.0889893,357.8330078,335.3429871,335.5910034,335.5910034
10/30/2014,335.7090149,350.9129944,335.071991,345.3049927,345.3049927
10/31/2014,345.0090027,348.0450134,337.1419983,338.3210144,338.3210144
11/1/2014,338.6499939,340.5289917,321.0549927,325.7489929,325.7489929
11/2/2014,326.0750122,329.0499878,320.6260071,325.8919983,325.8919983
11/3/2014,325.5690002,334.0020142,325.4809875,327.5539856,327.5539856
11/4/2014,327.1610107,331.7669983,325.0769958,330.4920044,330.4920044
11/5/2014,330.6830139,343.368988,330.6830139,339.4859924,339.4859924
11/6/2014,339.4580078,352.9660034,338.4240112,349.2900085,349.2900085
11/7/2014,349.8179932,352.7319946,341.776001,342.4150085,342.4150085
11/8/2014,342.1539917,347.0320129,342.1539917,345.4880066,345.4880066
11/9/2014,345.3760071,363.6260071,344.2550049,363.2640076,363.2640076
11/10/2014,362.2650146,374.8160095,357.5610046,366.9240112,366.9240112
11/11/2014,365.8569946,371.3099976,363.7349854,367.6950073,367.6950073
11/12/2014,367.9849854,429.7179871,367.9849854,423.5610046,423.5610046
11/13/2014,427.2730103,457.0929871,401.1229858,420.7349854,420.7349854
11/14/2014,418.4169922,419.2520142,384.7890015,397.8179932,397.8179932
11/15/2014,399.6499939,405.5280151,371.0079956,376.1329956,376.1329956
11/16/2014,374.730011,390.7990112,374.6019897,387.8819885,387.8819885
11/17/2014,388.348999,410.1990051,377.5020142,387.4079895,387.4079895
11/18/2014,387.7850037,392.4020081,371.1170044,375.197998,375.197998
11/19/2014,373.8959961,386.4809875,373.8959961,380.5549927,380.5549927
11/20/2014,380.3070068,382.0249939,356.7810059,357.8399963,357.8399963
11/21/2014,357.8789978,357.8789978,344.1119995,350.8479919,350.8479919
11/22/2014,351.6040039,364.8410034,350.8779907,352.9200134,352.9200134
